IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.76.33.40	2083	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	22333 kB/s
47.76.37.57	2096	TRUE	HKG	Asia Pacific	Hong Kong	83 ms	21489 kB/s
8.217.145.40	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	20966 kB/s
47.76.159.146	8443	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	20743 kB/s
8.210.39.96	2083	TRUE	HKG	Asia Pacific	Hong Kong	78 ms	17544 kB/s
8.217.232.246	2053	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	17190 kB/s
8.210.119.11	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	16936 kB/s
47.242.174.27	2096	TRUE	HKG	Asia Pacific	Hong Kong	129 ms	16601 kB/s
47.243.74.220	2083	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	16477 kB/s
47.238.40.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	15535 kB/s
8.210.101.157	2053	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	15407 kB/s
8.218.2.181	2053	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	15346 kB/s
47.243.60.150	2083	TRUE	HKG	Asia Pacific	Hong Kong	125 ms	15199 kB/s
47.76.159.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	84 ms	15166 kB/s
8.217.127.73	2053	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	14887 kB/s
47.242.252.237	2083	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	14813 kB/s
47.243.86.79	2087	TRUE	HKG	Asia Pacific	Hong Kong	89 ms	14747 kB/s
47.76.77.103	2083	TRUE	HKG	Asia Pacific	Hong Kong	98 ms	14501 kB/s
8.217.147.230	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	14191 kB/s
47.242.234.127	2053	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	14046 kB/s
8.218.142.253	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	13971 kB/s
47.243.27.217	2087	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	13883 kB/s
47.242.176.237	2087	TRUE	HKG	Asia Pacific	Hong Kong	113 ms	13113 kB/s
8.218.74.119	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	12857 kB/s
47.242.174.27	8443	TRUE	HKG	Asia Pacific	Hong Kong	132 ms	12618 kB/s
8.217.85.14	2083	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	12345 kB/s
8.218.53.110	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	12287 kB/s
47.243.74.220	2053	TRUE	HKG	Asia Pacific	Hong Kong	87 ms	12121 kB/s
8.217.145.40	2087	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	11960 kB/s
8.210.21.65	8443	TRUE	HKG	Asia Pacific	Hong Kong	84 ms	11924 kB/s
47.242.174.27	2053	TRUE	HKG	Asia Pacific	Hong Kong	98 ms	11902 kB/s
8.210.119.11	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	11750 kB/s
47.242.155.183	2096	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	11557 kB/s
47.242.54.157	8443	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	11551 kB/s
8.218.74.119	2096	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	11420 kB/s
47.243.139.85	2096	TRUE	HKG	Asia Pacific	Hong Kong	101 ms	11400 kB/s
8.218.74.119	8443	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	11365 kB/s
47.242.17.250	2087	TRUE	HKG	Asia Pacific	Hong Kong	78 ms	11335 kB/s
8.210.48.107	2053	TRUE	HKG	Asia Pacific	Hong Kong	81 ms	11092 kB/s
47.242.155.183	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	11075 kB/s
47.243.206.150	2053	TRUE	HKG	Asia Pacific	Hong Kong	124 ms	11059 kB/s
47.243.42.219	2053	TRUE	HKG	Asia Pacific	Hong Kong	130 ms	11036 kB/s
47.76.37.57	8443	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	11032 kB/s
8.218.143.10	2096	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	11031 kB/s
47.242.155.183	2083	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	10924 kB/s
47.242.157.96	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	10924 kB/s
8.210.21.65	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10741 kB/s
47.76.178.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	10731 kB/s
8.218.143.10	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10662 kB/s
8.210.48.107	2083	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	10534 kB/s
47.76.37.57	2087	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	10379 kB/s
47.242.171.94	2053	TRUE	HKG	Asia Pacific	Hong Kong	81 ms	10354 kB/s
47.243.5.154	8443	TRUE	HKG	Asia Pacific	Hong Kong	127 ms	10340 kB/s
47.76.37.57	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	10260 kB/s
47.242.59.216	2096	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	10178 kB/s
8.210.207.214	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	10142 kB/s
47.242.36.78	2053	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	9988 kB/s
47.243.60.150	2053	TRUE	HKG	Asia Pacific	Hong Kong	105 ms	9947 kB/s
47.76.33.40	2087	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	9918 kB/s
47.76.32.108	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	9791 kB/s
8.217.85.14	2053	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	9788 kB/s
8.210.48.107	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	9780 kB/s
47.243.169.63	2083	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	9756 kB/s
8.218.142.253	2083	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	9718 kB/s
8.218.143.10	2053	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	9297 kB/s
8.217.232.246	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	9273 kB/s
47.243.169.63	2053	TRUE	HKG	Asia Pacific	Hong Kong	87 ms	9265 kB/s
47.242.36.78	8443	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	9116 kB/s
8.210.146.108	2083	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	9089 kB/s
47.76.33.40	8443	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	9088 kB/s
8.210.48.107	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	9084 kB/s
47.242.59.216	2087	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	9079 kB/s
47.243.139.243	2087	TRUE	HKG	Asia Pacific	Hong Kong	95 ms	9012 kB/s
8.210.207.214	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8941 kB/s
8.210.21.65	2083	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	8866 kB/s
47.243.107.148	2096	TRUE	HKG	Asia Pacific	Hong Kong	99 ms	8835 kB/s
47.243.173.187	2053	TRUE	HKG	Asia Pacific	Hong Kong	107 ms	8830 kB/s
8.210.39.96	2087	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	8769 kB/s
47.243.173.187	2083	TRUE	HKG	Asia Pacific	Hong Kong	123 ms	8743 kB/s
47.242.174.27	2083	TRUE	HKG	Asia Pacific	Hong Kong	110 ms	8713 kB/s
8.217.147.230	8443	TRUE	HKG	Asia Pacific	Hong Kong	82 ms	8665 kB/s
8.210.174.156	2083	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8644 kB/s
47.76.159.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	79 ms	8596 kB/s
47.243.206.150	2083	TRUE	HKG	Asia Pacific	Hong Kong	119 ms	8594 kB/s
47.243.91.58	2083	TRUE	HKG	Asia Pacific	Hong Kong	76 ms	8591 kB/s
8.217.164.10	2083	TRUE	HKG	Asia Pacific	Hong Kong	88 ms	8590 kB/s
47.243.42.219	2087	TRUE	HKG	Asia Pacific	Hong Kong	90 ms	8540 kB/s
47.243.203.119	2096	TRUE	HKG	Asia Pacific	Hong Kong	90 ms	8475 kB/s
8.217.232.246	2087	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	8431 kB/s
47.243.173.187	2087	TRUE	HKG	Asia Pacific	Hong Kong	115 ms	8353 kB/s
47.243.139.243	2096	TRUE	HKG	Asia Pacific	Hong Kong	90 ms	8266 kB/s
8.218.143.10	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	8259 kB/s
47.242.17.250	2083	TRUE	HKG	Asia Pacific	Hong Kong	99 ms	8232 kB/s
47.242.79.71	2053	TRUE	HKG	Asia Pacific	Hong Kong	109 ms	8218 kB/s
